,Lat,Cloudiness,Humidity,Max Temp,Wind Speed
0,-42.78,58.0,77.0,53.99600000000005,1.34
1,-20.52,40.0,83.0,75.99199999999999,4.1
2,-33.01,58.0,72.0,59.0,4.1
3,19.73,40.0,54.0,80.6,4.1
4,27.73,1.0,65.0,84.00200000000008,3.1
5,11.67,28.0,74.0,82.45400000000006,1.86
6,59.7,90.0,91.0,37.4,7.0
7,-33.59,11.0,93.0,64.00400000000005,1.79
8,58.3,40.0,76.0,50.0,1.5
9,-54.8,75.0,32.0,53.6,4.1
10,-23.12,1.0,63.0,77.32400000000001,0.43
11,72.79,39.0,88.0,21.578000000000067,1.49
12,-30.18,12.0,84.0,65.46200000000006,2.84
13,-9.8,85.0,73.0,82.32800000000006,5.63
14,20.48,75.0,66.0,86.0,3.1
15,44.27,57.0,89.0,57.992,2.16
16,47.56,98.0,69.0,50.95400000000005,6.1
17,62.46,75.0,54.0,28.4,3.6
18,-33.65,95.0,61.0,53.99600000000005,2.65
19,-0.6,49.0,80.0,83.62400000000002,5.29
20,42.6,100.0,33.0,46.99400000000007,0.71
21,64.25,75.0,83.0,42.674000000000014,3.81
22,35.13,75.0,87.0,59.0,3.6
23,67.54,98.0,84.0,-5.259999999999984,2.39
24,57.79,75.0,81.0,48.2,3.6
25,3.07,88.0,80.0,82.38200000000002,7.34
26,-20.41,40.0,83.0,75.99199999999999,4.1
27,41.37,90.0,39.0,46.004000000000055,5.1
28,-6.18,91.0,32.0,72.19400000000007,0.19
29,35.17,40.0,88.0,62.6,1.05
30,4.93,75.0,100.0,77.0,3.38
31,9.42,40.0,61.0,84.2,6.7
32,-53.15,81.0,71.0,50.0,2.1
33,15.0,20.0,66.0,87.80000000000001,5.1
34,54.63,27.0,72.0,51.998000000000026,3.13
35,-21.2,20.0,69.0,82.4,4.1
36,45.52,20.0,12.0,75.99199999999999,3.1
37,22.57,0.0,69.0,79.01600000000002,1.37
38,-8.93,29.0,64.0,67.29800000000003,1.47
39,-34.53,94.0,87.0,53.99600000000005,0.5
40,69.13,98.0,74.0,33.8,11.8
41,-24.79,26.0,53.0,54.806000000000026,2.08
42,-7.8,47.0,86.0,72.57200000000003,1.47
43,31.69,100.0,73.0,56.354000000000056,4.68
44,64.84,90.0,75.0,46.004000000000055,2.1
45,18.01,4.0,100.0,80.99600000000005,1.79
46,9.41,59.0,54.0,74.53399999999999,2.57
47,-2.02,38.0,70.0,84.25400000000005,1.03
48,8.0,17.0,48.0,78.11600000000001,0.76
49,-0.74,75.0,88.0,80.00600000000003,3.6
50,73.51,50.0,96.0,23.36000000000008,4.49
51,-20.01,40.0,83.0,75.99199999999999,4.1
52,28.37,20.0,78.0,71.6,7.2
53,-17.73,100.0,66.0,89.6,5.7
54,60.45,97.0,93.0,34.610000000000085,1.48
55,-26.53,84.0,68.0,68.0,2.66
56,38.8,0.0,85.0,57.992,1.11
57,-21.21,54.0,65.0,82.4,2.1
58,31.89,73.0,51.0,78.99800000000002,1.59
59,22.08,1.0,65.0,80.6,5.1
60,16.35,75.0,18.0,98.60000000000001,2.1
61,-42.88,20.0,53.0,53.99600000000005,4.1
62,-9.67,20.0,94.0,78.80000000000001,1.0
63,-46.19,95.0,94.0,51.998000000000026,2.24
64,68.05,100.0,97.0,32.0,5.14
65,45.6,100.0,51.0,44.00600000000003,2.49
66,19.22,5.0,74.0,82.4,10.3
67,4.75,64.0,45.0,84.47000000000006,0.69
68,42.1,90.0,100.0,33.998000000000026,3.1
69,-23.32,90.0,67.0,64.4,3.1
70,-46.6,88.0,94.0,51.998000000000026,2.24
71,54.72,31.0,66.0,38.55200000000008,0.6
72,38.52,52.0,71.0,59.846000000000046,4.86
73,30.48,18.0,67.0,62.024000000000015,6.46
74,3.81,81.0,80.0,73.058,1.14
75,10.34,33.0,76.0,75.11000000000008,2.37
76,69.45,90.0,78.0,17.6,4.1
77,45.02,75.0,26.0,48.992,6.2
78,-41.87,20.0,87.0,59.0,2.6
79,59.78,90.0,90.0,37.4,7.0
80,22.89,40.0,53.0,82.99400000000009,10.3
81,-46.28,100.0,86.0,51.998000000000026,10.28
82,-20.34,40.0,83.0,75.99199999999999,4.1
83,-9.09,11.0,82.0,71.54600000000005,3.78
84,-37.62,100.0,92.0,61.682000000000016,2.43
85,29.03,0.0,40.0,64.61600000000001,4.48
86,16.15,0.0,33.0,71.33000000000004,3.99
87,27.98,37.0,57.0,67.01000000000008,7.04
88,-22.97,40.0,83.0,71.6,1.0
89,37.1,1.0,18.0,73.4,1.5
90,14.9,14.0,75.0,70.95200000000008,9.25
91,39.05,17.0,69.0,60.00800000000001,4.75
92,65.58,99.0,97.0,27.410000000000082,5.32
93,41.34,100.0,93.0,35.00600000000003,0.45
94,45.23,0.0,74.0,37.958000000000006,2.74
95,-34.42,99.0,83.0,57.00200000000008,1.79
96,-15.77,50.0,88.0,77.0,2.6
97,10.57,26.0,69.0,83.96600000000001,1.88
98,55.74,90.0,64.0,39.2,4.1
99,-20.93,61.0,23.0,40.694000000000074,4.16
100,-5.2,40.0,88.0,80.6,3.1
101,68.75,10.0,89.0,7.466000000000008,2.84
102,33.19,1.0,36.0,75.2,4.6
103,50.12,10.0,42.0,46.544000000000075,3.41
104,69.49,97.0,79.0,26.6,10.0
105,60.14,100.0,90.0,29.318000000000087,7.26
106,11.14,17.0,74.0,83.40800000000002,4.47
107,47.97,1.0,54.0,41.306000000000026,3.5
108,-19.98,40.0,83.0,75.99199999999999,4.1
109,27.1,75.0,83.0,82.00400000000005,4.1
110,-33.93,96.0,63.0,64.00400000000005,6.2
111,-16.48,100.0,72.0,82.90400000000005,4.25
112,70.63,21.0,90.0,-5.493999999999971,1.76
113,64.38,100.0,96.0,28.238000000000046,8.52
114,63.44,82.0,84.0,43.57400000000001,14.19
115,18.39,0.0,34.0,64.4,3.6
116,-18.06,69.0,27.0,72.82400000000001,1.14
117,-32.72,89.0,55.0,62.6,6.2
118,27.15,4.0,88.0,71.6,1.0
119,-2.92,68.0,86.0,76.69400000000007,0.89
120,-45.87,75.0,60.0,73.4,5.1
121,-5.38,94.0,82.0,69.8180000000001,0.18
122,5.41,20.0,88.0,80.6,2.6
123,19.38,40.0,78.0,80.6,6.2
124,71.97,0.0,92.0,11.246000000000048,5.45
125,67.67,100.0,90.0,37.67000000000006,6.77
126,42.8,16.0,26.0,57.97400000000002,3.2
127,24.35,0.0,79.0,76.24400000000009,4.77
128,14.2,13.0,18.0,64.86800000000008,3.49
129,71.92,15.0,88.0,2.966000000000008,2.21
130,39.98,87.0,80.0,55.004000000000055,0.45
131,37.68,75.0,87.0,51.8,4.1
132,69.22,99.0,74.0,28.4,1.0
133,71.29,90.0,85.0,10.399999999999999,7.7
134,38.21,0.0,49.0,51.15200000000008,1.0
135,65.82,70.0,83.0,36.104000000000056,4.83
136,-25.24,70.0,48.0,66.2,5.1
137,55.77,90.0,70.0,46.4,10.3
138,67.47,100.0,96.0,34.412000000000056,7.38
139,-14.27,58.0,85.0,73.79600000000005,3.31
140,66.15,90.0,77.0,5.0,2.6
141,-9.66,28.0,78.0,82.58000000000004,2.34
142,44.06,1.0,4.0,69.80000000000001,2.1
143,-20.22,20.0,64.0,71.6,7.2
144,-17.88,0.0,88.0,75.48800000000006,1.63
145,34.04,20.0,93.0,64.00400000000005,1.5
146,42.98,49.0,13.0,48.00200000000008,3.13
147,61.47,3.0,80.0,9.824000000000012,2.68
148,-24.87,88.0,88.0,75.2,2.6
149,52.63,22.0,81.0,34.538000000000046,4.34
150,5.6,61.0,57.0,73.99400000000009,2.72
151,60.92,99.0,68.0,28.4,6.7
152,40.16,0.0,89.0,55.99400000000007,0.9
153,60.37,67.0,78.0,32.54000000000002,0.46
